作者,看板,標題,日期,內容
freeride (又一個晴朗的週末),fruits,[廣宣] 苗栗 A級甘露梨,Wed Aug  2 08:26:10 2023,"
親戚在卓蘭種梨，不會行銷 ，這邊幫忙廣告一下！


尺寸價格如下：

甘露梨：
: 18A(16粒) =1,550元
: 20A(14粒) =1,650元
: 22A(12粒) =1,800元
  24A(12粒) =2,000元
: 25A(12粒) =2,100元
  29A(10粒）=2100元
  30A(8粒）=1900元
: 以上均含運(不含花東離島)
: 購買方式：站內信索取帳號

匯款後宅配出貨

"
a3345998 (yoyo),fruits,[廣宣] 斗六在地40年文旦推廣,Wed Aug  2 22:23:25 2023,"《店家背景》

產地位在雲林縣斗六市
是自家栽種近40年的老欉文旦
去年我選擇去現場自取
看到永村果園的一家人細心地照顧每一顆文旦
並將其包裝到禮盒準備宅配
那個畫面至今仍深深烙印在我腦海中


《口感分享》

文旦沒有施打任何甜味劑
吃起來果肉細緻、口感Q軟
清甜可口的風味更讓人一口接一口停不下來


《品項及價格》

區分【優級】【特級】【普級】三個等級
另外
也有以輕量搭配精緻包裝的【超人氣嚐鮮】


《詳細價格請參考圖片》

《訂購方式》加入line即可填寫表單
https://i.imgur.com/qxIuP55.jpg
https://i.imgur.com/oc8Ja8l.jpg


所有文旦預計8月底陸續採收
依照訂單順序陸續配送


隨著中秋節即將來臨
我推薦這間永村果園
是我每年都會回購的店
也是未來在心中
一直會持續分享給大家知道的店


https://i.imgur.com/8aWwjZU.jpg
https://i.imgur.com/dHwRH25.jpg
https://i.imgur.com/XpQlldF.jpg
https://i.imgur.com/KuUGBMr.jpg

"
e781117 (怪物很可愛),fruits,[廣宣] 柚柚果園_麻豆老欉文旦預訂中,Thu Aug 10 13:05:54 2023,"2023年文旦已售完
紅文旦預定中

是爸媽在地經營
自產自銷
並加入產銷班第十班
很用心經營 為了每一年美味多汁的柚子

今年開始搭配郵局/黑貓宅配
免運幫你送到家喔

特選_粒粒精選的文旦柚_送禮絕對有面子
NG柚_很適合自己吃_雖然外表可能有刮傷 但不影響它的美味
小果_內行人都知道要選小果_較小很可愛一樣好吃_有人會覺得送禮比較沒面子或不大氣

https://i.imgur.com/RTdbMg5.jpg

今年新建一個line官方帳號
可加入詢問
ID: @220zddgt
ID:smileyun17
或是站內信喔～
https://i.imgur.com/2LdPjbz.jpg

也有送檢合格唷
https://i.imgur.com/dlhWXoc.jpg

"
sunka (...),fruits,[廣宣]麻豆☆柚紅了☆[預購]紅柚☆產地直寄,Sun Aug 13 07:35:34 2023,"(更新：已售完，謝謝支持)
大家好，112年麻豆頂級紅文旦""柚紅了""開始預購囉，謝謝大家一直以來的支持！

我們在果園維護上，不使用除草劑避免造成土壤及農作物殘留造成藥害，使用草生栽培法！
http://i.imgur.com/ApFlLbJ.jpg

含運價：
每箱10斤900元
另有大容量一箱20斤(公版箱)1700元

註：離島運費另計，請事先詢問
數量有限，歡迎訂購！

有任何問題歡迎詢問
如果您還沒試過紅柚的甜蜜滋味，歡迎來試試！

注意：
今年產期預估在9月中旬出貨，中秋前可到貨
(實際狀況仍需視氣候及果肉熟成狀況調整)

☆商品規格☆
★商品名稱：麻豆紅柚
★內容量：(10斤±   5%/箱) or (20斤±   5%/箱)基本上只會多不會少

收到紅柚後應立即拆封讓柚子透氣，以利消水，最好的賞味期限為消水後的 5~10天為最佳?

有意訂購者，請匯款後填入G單完成訂購，會依匯款順序寄出，謝謝大家！



"
ayulovemi (ayulovemi),fruits,[廣宣] 預購中‧麻豆李家旺財文旦柚,Mon Aug 14 22:10:55 2023,"

已售完，不接單囉


老欉的台南麻豆李家旺財文旦柚 與蜜蜂一起種植、養殖

創造一個沒有汙染的果園環境!

沒有噴灑農藥，僅施作動物有機肥

讓您吃得安心、買得順心、送得放心 (照片請詳見粉絲團)

https://imgur.com/a/uH4AJRX
https://imgur.com/a/nrnhQh3
https://imgur.com/a/eKAkT0N
https://imgur.com/a/rlwe3sF

"
misting (sophiach),fruits,[廣宣] 台南大內自種酪梨,Tue Aug 15 10:13:53 2023,"***更新***
今年酪梨已完售囉！
謝謝訂購：）



〔台南大內酪梨〕〔紅心圓、會轉色〕
小農自產自銷、人工除草
無農藥、使用酵素栽種
老闆用心挑選後才出貨、品質有保障

每週一出貨（有訂購才會採摘）

〔一箱=10台斤，400元〕

運費
一箱，100元
兩箱(含)以上，免運費（需寄送同一地址）
*偏遠地區、東部及外島運費另計

果實皆有套袋
http://i.imgur.com/dUIqpBr.jpg

一箱約有10-12顆
http://i.imgur.com/4X1I20Y.jpg

http://i.imgur.com/ajcpT2g.jpg

http://i.imgur.com/q6bo20u.jpg


預訂請加入官方(line)
https://lin.ee/w8DQv7C


"
hsiaoyuan510 (鱈浮),fruits,[廣宣] 10斤惜福文旦盒 ；自己吃CP直讚,Sat Aug 19 23:16:24 2023,"2023萩荍文旦紅柚第一批預購已達千箱
為了感謝萩荍舊雨新知的支持:

【提供免費五斤文旦禮盒試吃活動，好吃再訂購】
歡迎各大公司、團購主或欲訂購12箱以上者，留下收件資料，預計8/28寄出。
-
10斤惜福文旦盒
一箱$380 免運宅配至您家
-
一鍵加入萩荍官方line，馬上服務您
https://lin.ee/Tw2fDns

或是搜尋打上 @769qwsba

—
@ 文旦預計9/2採收
@ 紅柚預計9/16採收

今年中秋節是9/29。


\小小聲說/
紅柚要買要快，已快被預購光

https://i.imgur.com/XljZZpF.jpg

https://i.imgur.com/hsAnNWP.jpg

https://i.imgur.com/aW9XipJ.jpg

"
ben1127 (CALM DOWN),fruits,[廣宣] 斗六朱丹灣文旦40年老欉,Sun Aug 20 20:33:55 2023,"跟fruit板一年一會的中秋節要到啦!
除了要吃陳耀訓蛋黃酥，也歡迎來吃我家文旦歐
自家生產40年以上的老欉細米斗六朱丹灣文旦即將開採!
小農自產自銷，皮薄多汁歡迎大家預購
感謝PTT眾版友們近幾年的訂購...

(1)價格: 往年的10斤$800因產量少，今年不販售歐
5斤:$600，甜度12度，約8-10顆
    $800，甜度13-14度，約8-10顆

10斤:$1000，甜度約12度，約11-12顆
     $1200，甜度約13度，約12-13顆
     $1500，甜度約14度，約13-14顆

(2)運費:郵局寄送
5斤:1箱$70，同一地址2箱以上1箱$65
10斤:1箱$90，同一地址2箱以上1箱$85

(3)寄送日期:
預計9/3採收
確認付完款，依預定順序出貨

圖片:
https://imgur.com/a/5zm1tVx
https://imgur.com/a/Rn61g66
https://imgur.com/a/dyyZoYV

可直接填單或私下水球歐
https://tinyurl.com/5n89883b

"
xy03172 (寒玉),fruits,[廣宣] 自家栽種 新鮮酪梨,Fri Aug 25 12:26:30 2023,"
鄉下家裡自己種的酪梨，自產自銷

酪梨品種:'紅心園'

15 斤一箱，含運費 600 圓

出貨方式:郵局寄送。一到四都可以寄出。

收費方式:銀行匯款轉帳

聯絡方式: https://qr-official.line.me/gs/M_979rzrqp_BW.png?oat_content=qr
LINE ID: @979rzrqp

備註:雲林褒忠附近也可以約面交喔，可以減去運費100圓

綠綠新鮮的酪梨需要放個幾天變軟變黑後才可以食用。

酪梨營養價值高，是非常好的油脂，對身體有多種益處:降低心血管疾病風險、
抗發炎與抗氧化、增加飽足感有益減肥、預防骨質疏鬆與骨性關節炎、預防癌症等慢性病
，給孕婦或體虛的人補充營養特別有效益。

酪梨食用方式多樣，可做成酪梨沙拉、酪梨蜂蜜牛奶、酪梨莎莎醬等。簡單的沾
著醬油或蜂蜜也超好吃的!!

(產地:農業首都~雲林)

"
yiwhale (Jumping),fruits,[自家] 台南大內小農 紅心圓酪梨,Sat Aug 26 22:16:53 2023,"大家好～

台南大內是綠寶石酪梨的故鄉，爸媽在台南大內栽種的酪梨是草生栽培，全程不使用化學
肥料、除草劑。
紅心圓不會像秋冬季酪梨有酪梨腥味，單吃尾韻有淡淡的甘甜，酪梨的入菜範圍很廣，可
以做沙拉、壽司、佐醬、土司夾層、飲品冰品、披薩等等，天然的植物性奶油多吃多健康
。



酪梨一斤50元

郵寄宅配(貨到付款+30元)：
5斤/箱 250元 約3～5顆 (運費70元)
15斤/箱750元約10～12顆 (運費100元)

可面交已轉色的酪梨，一斤45元。

不限金額面交：
台南東區市醫對面7-11
大灣廣護宫

聯絡電話：0921013441
Line ID：@112ynfsu (上班回訊息較慢，電話回覆較快。)

https://i.imgur.com/75Hc5P5.jpg
https://i.imgur.com/eSUBlKg.jpg
https://i.imgur.com/hvCFom8.jpg

"
eryu (*+Red),fruits,[廣宣] 瑞春麻豆紅文旦,Mon Aug 28 17:33:10 2023,"麻豆40年老欉紅文
旦
※柚子在水果類最有纖維營養
份
●10斤禮盒/7-8顆=1000元
●5斤禮盒約4顆裝=600元
●採收發貨日
9/12-9/30
●歡迎私訊詢問問題呦


粉絲專頁:
https://zh-tw.facebook.com/RueiChuenPomelo/


節前預購單:
https://bit.ly/2zd8Hz7

"
fer1735 (恩哼！),fruits,[廣宣] 嘉義縣義竹鄉柚子達人柚子來了,Sat Sep  2 17:21:29 2023,"歡迎各公司行號大量訂購

中秋送禮 齊賞柚月
《店家背景》
產地位在嘉義縣義竹鄉
是自家栽種的老欉文旦
每一顆柚子都是由一家人細心呵護自己的成果

擁有最專業的知識及多年累積的經驗
主人翁是當地公認的柚子達人

10斤 含運$ ７００元/箱(約8-14顆/箱)
填完表單有專人聯絡

https://reurl.cc/qL9Ryy

有匯款才出貨喔！有匯款才出貨喔！有匯款才出貨喔！
有任何問題都可以與我聯絡詢問喔

▲預計採收日09/01~09/03
◆預計出貨日09/04～售完為止(如售完，會關閉此網頁)
https://i.imgur.com/jnJ6nx3.jpg

"
q943258 (雪國),fruits,[廣宣] 黃肉榴槤蜜,Sat Sep  9 23:09:11 2023,"
黃肉榴槤蜜

果肉綿密，香氣濃郁，口感香甜。
每顆約3-4斤，一斤50元。


https://imgur.com/1MSlT8O
https://imgur.com/WtpQslv


運送方式：超商店到店，運費60元。

（撥開果肉未達50%，會再補寄一顆。）

歡迎站內信~


"
butzgirl (顏寧),fruits,[發問],Thu Oct  5 18:43:24 2023,"請問這個柚子還能吃嗎，底部增生橘色的東西，味道都正常～謝謝大家
https://i.imgur.com/AZ3poxH.jpg
https://i.imgur.com/XyFWw53.jpg

"
meblessme (人身攻擊是爛人),fruits,[發問] 香蕉沒黑就裂開？,Mon Oct 16 09:48:19 2023,"印象中香蕉熟了就是開始長黑點，
哪怕長到整隻黑了也不會裂開
可是昨天剛買的香蕉
還沒怎麼長黑點就裂開了
這正常嗎
https://i.imgur.com/DkVvco6.jpg

"
hannahhannah (葦),fruits,[廣宣]  老欉大白柚,Mon Oct 23 20:23:23 2023,"又來到一年一次準備採收的大白柚季節

父親年輕時將台南老家果園全面改種植大白柚，
從小小果苗細心呵護,至今已逾35年，到現在已
著實為結實累累的老欉大白柚。

栽種的方式，採用果袋防蟲咬傷，不灑農藥，也使用有機肥料，及使用台糖有機肥,並且
定期除草，為增加水果甜度，父親收購甘蔗皮弄碎當肥料，附近沒有工廠，水質、空氣未
受汙染。在這些條件促成之下，老欉大白柚的果肉必然是豐厚、多汁又香甜。

而採收白柚是家裡一年一度的重要工作，父親
收成時、運送時，總是千萬叮囑，每顆柚子要小心輕放，大白柚的蒂頭千萬不要弄掉了，
否則將會縮短大白柚的賞味期間，這樣就太可惜了。

希望能把這麼好的大白柚分享給大家，讓大家嚐嚐這香甜多汁的好水果。

10斤 ：600元。（另運費100）
15斤 ：850元。（另運費100）
20斤 ：1100元。（另運費130元）
https://i.imgur.com/kN5MyGX.jpg
https://i.imgur.com/TqQmhCE.jpg

"
halloween00 (貓耳朵),fruits,[廣宣] 雲林古坑帝王柑,Fri Oct 27 16:18:14 2023,"「橘中之王」帝王柑產季開跑啦！！
有柳丁清香 飽水度超高
溫和且含有大量維他命ｃ、B12、有機酸與鉀和果膠
好吃、養顏美容又能助感冒快快好

產季開始啦!每年產量有限，趕快來搶購!

10斤430
20斤730

免運費

想要訂購的朋友歡迎站內信
預購中 11/15開始出貨
https://i.imgur.com/ayMoEpo.jpg

"
schaukel (Einmal ist Keinmal),fruits,[廣宣] 拉拉山水蜜桃,Wed Jul  5 13:31:15 2023,"
朋友的家人在拉拉山上種植水蜜桃多年

去年吃到覺得驚為天人

幫他和大家分享


https://imgur.com/IwHxiUj

6粒裝 700

8粒裝 600

10粒裝 500

12粒裝 400

運費另計

意者站內信聯繫～

謝謝

"
only12493 (SunF),fruits,[廣宣] 旺來十七仔,Wed Jul  5 16:12:04 2023,"手機排版，請見諒。

旺來十七仔，也就是金鑽鳳梨。
金鑽盛產季節就是這時，一年採收一次，農民們都期許豐收，但每年這時的價格都讓農民很無奈，就算鳳梨再漂亮，價格還是有很多理由，讓盤商們宰割著，完全沒有一套機制保護農民，所以想藉由網路尋找有無水果行、食品加工、果乾、飲品、冰品等等，批發、零售業者，歡迎回覆、站內信與我們聯絡。

產地：南投，正在採收中。


https://i.imgur.com/9ePMyxT.jpg
https://i.imgur.com/rErH4ZK.jpg
https://i.imgur.com/d6oRAF7.jpg


"
hsiaoyuan510 (鱈浮),fruits,[情報] 最後十箱 夏雪芒果禮盒 含運688,Thu Jul  6 11:33:29 2023,"最後十箱！夏雪芒果禮盒 688含運！

今日寄出，依訊息來訊排序寄出。

自食送禮兩相宜！
還沒吃過夏雪的朋友可以趁這次 下單喔
全都是A果，送禮超級推薦

https://i.imgur.com/5LJQpMt.jpg


下單連結

https://lin.ee/Bu1bSlw7


"
bigu (bigu),fruits,[廣宣] 台南南化老欉愛文芒果.金煌芒果,Thu Jul  6 13:52:29 2023,"大家好~

台南南化外公家的芒果開始採收了，
快60年的老欉果樹，現正採收在欉紅愛文芒果，
當天現採，優先挑選直寄，隔日到貨!
年初的氣候影響，今年果實較偏小，但一樣香甜且籽很薄~


愛文芒果  https://imgur.com/a/2ZMkSUB
17-18顆 $300 /10斤淨重/箱


金煌芒果  https://imgur.com/a/L18iugB
6 - 7顆 $300 /10斤淨重/箱



每箱水果淨重都有10斤.運費另外計算

訂購表單 https://forms.gle/kDQCgiBhNBc24sEc9

謝謝大家的支持~

"
freeride (又一個晴朗的週末),fruits, [廣宣] 苗栗 新興梨,Fri Jul  7 14:38:21 2023,": 親戚在卓蘭種梨，不會行銷 ，幫忙廣告一下！
: 尺寸價格如下：
: 新興梨：
: 15A(一箱兩層共20粒) =1,300元
: 16A(一箱兩層共16粒) =1,350元
: 20A(一箱兩層共14粒) =1,750元
:
: 以上均含運(不含花東離島)
: 購買方式：站內信

匯款後宅配出貨
提供 Linepay 街口 台新銀行帳號

"
ster (in Tainan),fruits,[廣宣] 台南梅嶺山坡地愛文芒果/芒果乾,Sun Jul  9 18:14:46 2023,"大家好~~~

幫忙出售家裡自種的愛文芒果

產地台南楠西梅嶺，是山坡地種植，

山坡地的芒果口感比較香甜喔，但採收也較辛苦一些

每顆芒果都是新鮮在欉紅，皆自然熟成，絕對沒有使用催熟劑

芒果都是當天早上現採，下午出貨，寄送使用黑貓宅配

https://imgur.com/v5AbCao
https://imgur.com/SPZLzZQ

每一箱扣掉箱重，淨重都會超過10斤
18顆     350元
14~16顆  450元
11~12顆  550元

我們使用黑貓宅配，比較有保障
運費 1箱120元，2箱150元

欲訂購者可站內信或加line：@805unfke
謝謝大家~
"
mlev (大地彩妝果園),fruits,[廣宣]大地彩妝果園愛文芒果乾600公克不含運395,Mon Jul 10 22:37:24 2023,"2023大地彩妝果園愛文芒果乾600公克不含運395元
產地：臺南善化
果園：大地彩妝果園
品種：愛文
品項：無糖
添加物：無
專屬夏天的天然零嘴
香甜軟Q好滋味
600公克不含運395元
高貴不貴
趕緊來買哦
https://myship.7-11.com.tw/general/detail/GM2007191619981

"
predator1181 (onlypredator),fruits,[廣宣] 山上芒果乾,Tue Jul 11 18:58:42 2023,"面交地點:新市區/山上區

交易物品：愛文芒果乾

金額：200公克/200元

說明：來自山上小農自產自銷的愛文芒果低溫烘培純天然果乾，不添加色素，不含防腐劑

我們的芒果乾都是微糖的，芒果烘製的過程容易變硬，加入一些砂糖醃漬再烘製才能保有
比較濕潤的口感


小七店到店長寬高不超過200公分運費60元
買十送一喔！

有任何問題歡迎站內信，謝謝
https://i.imgur.com/PypdOCe.jpg
https://i.imgur.com/HKgOknI.jpg

"
adimaelblack (雀兒喜),fruits,[發問] 哪些水果能代表台灣,Wed Jul 12 10:08:38 2023,"臺灣夏季水果多，如水蜜桃、梨、芒果、草莓、鳳梨、荔枝、龍眼、葡萄、西瓜、蓮霧…
…等，臺灣真不愧是水果王國。

大家覺得什麼水果最能代表臺灣呢

"
qq5714778 (林貓),fruits,[廣宣],Wed Jul 12 20:04:19 2023,"面交地點(須為台南市內):麻豆全區/7-11、全家店到店

交易物品/金額/說明:
[品名]：無糖芒果乾

[價格]$250／包 (300公克）
滿10包送一包 一律貨到付款

[運費]7-11$60、全家$75

[配送方式]：7-11 、全家超商店到店或or麻豆區內面交

「新鮮香甜，天然風味」－芒果乾
https://i.imgur.com/kJsM75o.jpg
https://i.imgur.com/M1gkSOR.jpg
我們嚴選頂級芒果，經過專業的烘乾處理，讓芒果乾保持了其天然的甜度和鮮美的口感。
我們嚴格控制製作過程中的溫度和時間，確保每一片芒果乾都達到完美的脆度和口感。
而且，絕不添加 任何人工色素 防腐劑 化學添加劑，讓你品嚐到純正的芒果風味。

因為我們芒果甜度很高，不用再額外加糖就已經很甜了，另外我們最堅持不添加任何化學
添加劑，為的就是保留芒果的原風味品質給消費者，堅持提供純天然安心的食物給大家


訂購方式：填寫表單https://forms.gle/1tqrE4SVR5MuYsCN8
或站內信皆可

"
coolseal (音符 節奏 酒精),fruits,[廣宣] 台南愛文芒果,Thu Jul 13 08:51:39 2023,"

現在果園已經進入最後尾聲

這一團開完今年芒果就要結束了

預計剩十箱 每天視採果數量出貨

一箱16~18粒裝 10斤 350含運  先前有訂購的版友回購附贈芒果乾

可直接加我line:coolseal訂購

也可站內信給我姓名地址電話數量

通通在欉紅 天天現採 郵局快捷寄送隔天到

有套網盡量避免碰撞 外皮可能會有斑點

謝謝大家支持：）

"
Littleguy (littleguy),fruits,[廣宣] 自家栽種新鮮大顆龍眼,Thu Jul 13 23:15:30 2023,"大家好，吃完芒果，接下來要吃一樣是甜滋滋的龍眼了
家父一心只想把他的龍眼新鮮的送到客人手中
因為長大的龍眼就跟女兒一樣，長大就不中留了XDD
我們的龍眼是大顆的龍眼，俗稱五月早
價格如下：
一箱１０斤６００元（含運）
一箱２０斤１１００元（含運）
以上價格是郵局配送，如果選擇黑貓低溫就＋１９０
更可以鎖住新鮮喔～～
意者站內信，歡迎參觀選購
https://imgur.com/a/D8ezQH3

"
flowerblosso (木槿),fruits,[廣宣] 自家種植西施芒果,Sat Jul 15 15:21:22 2023,"
家裡種植的西施芒果

果肉豐富細嫩Q彈，水分飽滿清甜爽口！

https://imgur.com/HVVwMlG
https://imgur.com/vb1oteK
https://imgur.com/pkTzDlj


價格：一箱10台斤(約10-13顆)，含運費$450，兩箱同地址$800

運送方式：黑貓宅急便

歡迎站內信詢問！

"
hsiaoyuan510 (鱈浮),fruits,[廣宣]  酪梨選物，大內阿公酪梨禮盒,Sun Jul 16 15:34:34 2023,"【萩荍大內阿公酪梨】
@ 7/26即將陸續出貨
來自大內二溪的酪梨，酪梨品種為紅心圓(會轉色)
酪梨選物，每顆酪梨都是經過挑選才裝箱出貨。品質保證！送禮自食都推薦


@ 品項售價
10斤裝 $900 (10-14顆)
5斤裝   $450 (5-7顆)
3斤裝   $280 (3-4顆)

@ 運費

10斤裝單箱免運
3斤/5斤裝單箱運費$80，兩箱免運
※為了品質及新鮮度，一律黑貓宅配至您家

酪梨富含多種營養素，且易於人體吸收，功效更是多樣-降低心血管疾病風險、 抗發炎、
 有益腸道健康、補充孕婦營養等等，是一種極高CP值的水果

訂購方式
：：加入萩荍Line官方帳號訂購：：

https://lin.ee/Bu1bSlw7
https://i.imgur.com/iOPpr3T.jpg

https://i.imgur.com/GZqsAbi.jpg

https://i.imgur.com/FZzmkJn.jpg

https://i.imgur.com/lJQc9Za.jpg

https://i.imgur.com/wPE6E98.jpg

https://i.imgur.com/zIuex3i.jpg

"
freeride (又一個晴朗的週末),fruits,[廣宣] 苗栗 甘露梨,Tue Jul 18 14:48:30 2023,"
親戚在卓蘭種梨，因為沒有打藥催熟上市較晚又不會行銷 ，這邊幫忙廣告一下！
: 尺寸價格如下：

甘露梨：

: 18A(一箱兩層共16粒) =1,550元
: 20A(一箱兩層共14粒) =1,650元
: 22A(一箱兩層共12粒) =1,800元
  24A(一箱兩層共12粒) =2,000元
: 25A(一箱兩層共12粒) =2,100元
: 以上均含運(不含花東離島)
: 購買方式：站內信

匯款後宅配出貨

"
sunlight0217 (pipi12172),fruits,[發問] 蘋果問題,Thu Jul 20 10:32:19 2023,"蘋果在冰箱冰了一段時間，發現有裂痕
這樣還能吃嗎？

"
jefferson579 (),fruits,[發問] 水果,Wed Jul 26 10:32:06 2023,"我知道有「波羅蜜」這水果
但還有一種水果叫「榴槤蜜」
不過它的外貌跟波羅蜜很像
想問有沒有人知道波羅蜜跟榴槤蜜怎麼分別？

"
