類別,名稱,公私立,縣市,鄉鎮市區,地址,經度,緯度,聯絡電話,管轄所屬
公墓,新店區五城花園公墓,公立,新北市,新店區,安坑段四城小段221-3等地號,121.4702170,24.9400920,(02)2911-2281分機1013,新北市                 
公墓,烏來區烏來公墓,公立,新北市,烏來區,南勢段394等地號,121.5481500,24.8718810,(02)2661-6442分機203,新北市                 
公墓,平溪區第一公墓,公立,新北市,平溪區,石底段柴橋坑小段49之1地號、嶺腳寮小段107之1地號,121.7381900,25.0266890,(02)2495-1510分機162,新北市                 
公墓,雙溪區頂坪公墓,公立,新北市,雙溪區,武丹坑段粗坑小段324之2等地號、武丹坑段頂坪小段34之2等地號,121.8220980,24.9971842,(02)2493-1111分機103,新北市                 
公墓,石門區第三公墓,公立,新北市,石門區,下角段尖子鹿小段201之1地號,121.57346248626709,25.291208854892332,(02)2638-1721分機311,新北市                 
公墓,汐止區第五公墓,公立,新北市,汐止區,叭嗹港段叭嗹港口小段58-2等地號,121.6397184,25.0616059,(02)2641-1111分機167,新北市                 
公墓,深坑區第一公墓,公立,新北市,深坑區,萬順寮段草地尾小段33-4等地號,121.6159240,25.0024850,(02)2662-3116分機202,新北市                 
公墓,金山區第一公墓,公立,新北市,金山區,文化段93等、中興段322等、溫泉段171等地號,121.6365580,25.2223520,(02)2498-5965分機113,新北市                 
殯儀館,新北市立殯儀館,公立,新北市,板橋區,中正路560號,121.4565970,25.0284320,02-22571207,新北市                 
公墓,私立懷恩聖地公墓,私立,新北市,三芝區,圓山里石曹子坑32之1號,121.5255815,25.2370456,(02)2637-1887,新北市                 
公墓,私立國寶北海福座墓園,私立,新北市,三芝區,北新庄店子里9之2號,121.5255815,25.2370456,(02)2637-2105,新北市                 
公墓,私立北海明山墓園,私立,新北市,三芝區,福德里大湖8之8號,121.5255815,25.2370456,(02)2637-1130,新北市                 
公墓,私立白沙灣安樂園公墓,私立,新北市,三芝區,圓山里木屐寮38之2號,121.5255815,25.2370456,(02)2636-5300,新北市                 
公墓,私立慈安墓園,私立,新北市,三芝區,店子里菜公坑1之1號,121.4662760,25.0809590,2637-1608、2637-1609,新北市                 
公墓,私立觀音山福園,私立,新北市,五股區,民義路2段130號,121.4676360,25.0730110,(02)2971-2102,新北市                 
公墓,私立觀龍陵墓園,私立,新北市,五股區,中直路69之6號,121.5598345,25.0910750,(02)2503-6099,新北市                 
公墓,私立金山安樂園公墓,私立,新北市,金山區,西湖里西勢湖18號,121.6169002,25.2366076,(02)2498-5911,新北市                 
公墓,私立國榮公墓,私立,新北市,金山區,無,121.6739371,24.9157122,無,新北市                 
公墓,蓬萊陵園,私立,新北市,金山區,五湖里南勢湖74之9號,121.6365463,25.2223943,(02)2498-2570,新北市                 
公墓,私立富貴山墓園,私立,新北市,金山區,頂中股段硫磺子坪小段88之1等地號,121.5541264,25.0552958,(02)2509-0297,新北市                 
公墓,私立宜城公墓,私立,新北市,淡水區,無,121.4819340,25.1803620,無,新北市                 
公墓,私立天主教三德公墓,私立,新北市,三峽區,中正路3段33號,121.5522490,25.0248380,(02)2671-9985,新北市                 
公墓,私立龍泉墓園,私立,新北市,三峽區,建安路74-2號,121.5260640,25.0070270,(02)2772-6776,新北市                 
公墓,私立龍泉墓園,私立,新北市,三峽區,建安路74-2號,121.5260640,25.0070270,(02)2672-6481,新北市                 
公墓,私立天外天墓園,私立,新北市,瑞芳區,四腳亭坑路35之15號,121.6417938,25.0636982,(02)2497-8790,新北市                 
公墓,私立金石安樂園,私立,新北市,瑞芳區,海濱路2巷1號,121.8091560,25.1087770,(02)2497-2501,新北市                 
公墓,私立天主教基隆區善終教友公墓,私立,新北市,瑞芳區,無,121.5522490,25.0248380,無,新北市                 
公墓,私立萬壽山墓園,私立,新北市,萬里區,磺潭里員潭22之4號,121.6397184,25.1676024,(02)2498-0666,新北市                 
公墓,私立春秋墓園,私立,新北市,中和區,無,121.5314530,25.0384190,無,新北市                 
公墓,私立長青孝園公墓,私立,新北市,石門區,草里里五爪崙5之1號,121.4723310,25.0703630,(02)2638-0558,新北市                 
公墓,私立玫瑰園公墓,私立,新北市,石門區,草里里五爪崙15號,121.5349520,25.0622300,(02)2498-5911,新北市                 
公墓,私立佛教樂山公墓,私立,新北市,樹林區,無,121.3878630,24.9702670,無,新北市                 
公墓,私立青潭花園公墓,私立,新北市,新店區,翠峰路100號,121.5848423,24.9390807,(02)2217-0523,新北市                 
公墓,私立長樂公墓,私立,新北市,新店區,翠峰路70巷33號,121.5360270,25.0622140,(02)2217-4748,新北市                 
公墓,私立新店安樂墓園,私立,新北市,新店區,安康路3段620之1號,121.5250380,25.0240650,(02)2366-0505,新北市                 
公墓,私立安康墓園,私立,新北市,新店區,安康路3段657號,121.4699510,24.9387260,(02)2214-3336,新北市                 
公墓,私立台北花園公墓,私立,新北市,石碇區,北宜公路6段小金瓜寮15號,121.5311170,25.0182360,(02)2665-1973,新北市                 
公墓,私立南港墓園,私立,新北市,深坑區,萬福里萬福路199號,121.6337230,25.0108290,(02)2662-2079,新北市                 
公墓,白鶴山松柏長福園,私立,新北市,深坑區,昇高坑路50之1號,121.5040904,24.9942551,(02)2662-6355,新北市                 
火化場,新北市立殯儀館附設火化場(三峽昇華園),公立,新北市,三峽區,介壽路3段260巷1號,121.395377,24.936326,02-86765555,新北市                 
骨灰(骸)存放設施,三峽示範公墓納骨塔,公立,新北市,三峽區,弘道里弘道路7-3號,121.3398460,24.9110990,2673-1146,新北市                 
骨灰(骸)存放設施,鶯歌示範公墓納骨塔,公立,新北市,鶯歌區,建德里中正一路苑園巷1號,121.3427262,24.9614967,2678-0202,新北市                 
骨灰(骸)存放設施,樹林示範公墓納骨塔,公立,新北市,樹林區,光興里光興街400號,121.40154898166656,25.004528759242127,2681-2106,新北市                 
骨灰(骸)存放設施,新店四十份公墓懷恩堂、懷親堂,公立,新北市,新店區,雙峰里翠峰路100-1號、102號,121.583336,24.938847,2217-8433或2911-2281,新北市                 
骨灰(骸)存放設施,新店五城花園公墓納骨塔（原永和市第一花園公墓納骨塔）,公立,新北市,新店區,日興里安康路3段808號,121.4702170,24.9400920,2215-2637,新北市                 
骨灰(骸)存放設施,五股孝恩納骨堂,公立,新北市,五股區,集福里孝義路80號,121.4539296,25.1121622,2293-7584或2291-8227,新北市                 
骨灰(骸)存放設施,淡水第一公園化公墓附設納骨塔,公立,新北市,淡水區,中和里北勢子19號,121.47732,25.2466,2801-3215,新北市                 
骨灰(骸)存放設施,三芝示範公墓納骨堂,公立,新北市,三芝區,圓山里八連溪頭25-1號,121.50082850000001,25.2576529,2636-8307,新北市                 
骨灰(骸)存放設施,萬里中福納骨堂,公立,新北市,萬里區,中幅里中福29-1號,121.6895790,25.1780040,2492-2064#325,新北市                 
骨灰(骸)存放設施,八里慈恩納骨塔,公立,新北市,八里區,米倉村龍米路2段171巷1號,121.4313328,25.1452098,2610-5542,新北市                 
骨灰(骸)存放設施,金山第一公墓福緣納骨堂,公立,新北市,金山區,磺港里社寮16-1號,121.6739371,24.9157122,2408-1742,新北市                 
骨灰(骸)存放設施,新莊生命紀念館,公立,新北市,新莊區,丹鳳里壽山路162-1號,121.4155670,25.0311410,2901-0924,新北市                 
骨灰(骸)存放設施,平溪第一公墓納骨堂,公立,新北市,平溪區,嶺角村柴橋坑7號,121.7394939,25.0406267,2495-2788,新北市                 
骨灰(骸)存放設施,土城公有靈恩納骨塔,公立,新北市,土城區,柑林里明德路1段371號,121.4570447,24.9772803,2274-3477,新北市                 
骨灰(骸)存放設施,金剛舍利寶塔,私立,新北市,萬里區,磺潭里員潭22-4號,121.650953,25.20855,(02)2498-0666,新北市                 
骨灰(骸)存放設施,私立天祥寶塔,私立,新北市,萬里區,無,121.6397184,25.1676024,無,新北市                 
骨灰(骸)存放設施,私立關渡龍園,私立,新北市,八里區,頂寮一街33-8號,121.450625,25.123768,(02)2618-5878,新北市                 
骨灰(骸)存放設施,私立大福金座寶塔,私立,新北市,石門區,茂林里坪林31-1號,121.5418430,25.0339370,(02)2638-0899,新北市                 
骨灰(骸)存放設施,私立觀自在金龍寶塔,私立,新北市,土城區,石門路95巷3之1號,121.469712,24.959196,(02)2270-3457~9,新北市                 
骨灰(骸)存放設施,私立青潭花園公墓附設納骨塔,私立,新北市,新店區,翠峰路100號,121.523489,25.094889,(02)2217-0523,新北市                 
骨灰(骸)存放設施,吉樂寶塔,私立,新北市,新店區,翠峰路70巷33號,121.568685,24.940788,(02)2217-4748,新北市                 
公墓,三峽區第三公墓(示範公墓),公立,新北市,三峽區,福德坑段956等地號,121.3398460,24.9110990,(02)2671-1017分機203,新北市                 
公墓,三峽區第一公墓,公立,新北市,三峽區,仁愛段218、173、173-1地號,121.4227610,24.8684741,(02)2671-1017分機203,新北市                 
公墓,三峽區第二公墓,公立,新北市,三峽區,中埔段71-4等，中園段547等，麻園段麻園小段1-2等地號,121.4227610,24.8684741,(02)2671-1017分機203,新北市                 
公墓,三峽區第四公墓,公立,新北市,三峽區,礁溪段23-3等地號,121.4227610,24.8684741,(02)2671-1017分機203,新北市                 
公墓,三峽區第五公墓,公立,新北市,三峽區,佳興段24之1、39地號,121.4227610,24.8684741,(02)2671-1017分機203,新北市                 
公墓,三峽區第六公墓,公立,新北市,三峽區,成福段成福小段885、886地號,121.4227610,24.8684741,(02)2671-1017分機203,新北市                 
公墓,三峽區第七公墓,公立,新北市,三峽區,十三添段犁舌尾小段100地號,121.4227610,24.8684741,(02)2671-1017分機203,新北市                 
公墓,三峽區第八公墓,公立,新北市,三峽區,橫溪段坪林小段129-2地號,121.4227610,24.8684741,(02)2671-1017分機203,新北市                 
公墓,三峽區第九公墓,公立,新北市,三峽區,十三添段打鐵坑小段2等地號,121.4227610,24.8684741,(02)2671-1017分機203,新北市                 
公墓,三峽區第十公墓,公立,新北市,三峽區,成福段小暗坑小段1266地號,121.4227610,24.8684741,(02)2671-1017分機203,新北市                 
公墓,三峽區第十一公墓,公立,新北市,三峽區,成福段小暗坑小段1123地號,121.4227610,24.8684741,(02)2671-1017分機203,新北市                 
公墓,三峽區第十二公墓,公立,新北市,三峽區,成福段小暗坑小段1298地號,121.4227610,24.8684741,(02)2671-1017分機203,新北市                 
公墓,三峽區第十三公墓,公立,新北市,三峽區,麥仔園段劉厝埔小段77地號,121.4227610,24.8684741,(02)2671-1017分機203,新北市                 
公墓,三峽區第十四公墓,公立,新北市,三峽區,山員潭子段5-1地號,121.4227610,24.8684741,(02)2671-1017分機203,新北市                 
公墓,三峽區第十五公墓,公立,新北市,三峽區,插角段外插角小段13地號,121.4227610,24.8684741,(02)2671-1017分機203,新北市                 
公墓,汐止區第一公墓,公立,新北市,汐止區,保長坑段保長坑小段592之17等、保安段1437等、茄苳腳段572之2地號,121.6397184,25.0616059,(02)2641-1111分機167,新北市                 
公墓,坪林區第一公墓,公立,新北市,坪林區,坪林段水柳腳小段19之1等、坪林小段36之1等地號,121.71055555343628,24.936198951051246,(02)2665-7251分機205,新北市                 
公墓,坪林區第二公墓,公立,新北市,坪林區,厚德岡坑段厚德岡坑小段32-8地號,121.734528,24.941185,(02)2665-7251分機205,新北市                 
公墓,坪林區第三公墓,公立,新北市,坪林區,厚德岡坑段東坑小段1之17地號,121.746604,24.922418,(02)2665-7251分機205,新北市                 
公墓,坪林區第四公墓,公立,新北市,坪林區,厚德岡坑段籐寮坑小段5之5地號,121.7423434,24.9207611,(02)2665-7251分機205,新北市                 
公墓,坪林區第五公墓,公立,新北市,坪林區,厚德岡坑段大湖尾小段12之1地號,121.725749,24.926683,(02)2665-7251分機205,新北市                 
公墓,坪林區第六公墓,公立,新北市,坪林區,水聳淒坑段水聳淒坑小段112之13等地號,121.73967361450195,24.91901692120365,(02)2665-7251分機205,新北市                 
公墓,坪林區第七公墓,公立,新北市,坪林區,魚堀段魚堀小段60-1等地號,121.70220851898193,24.932151757607165,(02)2665-7251分機205,新北市                 
公墓,坪林區第八公墓,公立,新北市,坪林區,坑子口段樹梅嶺小段85-3地號,121.687815,24.959708,(02)2665-7251分機205,新北市                 
公墓,坪林區第九公墓,公立,新北市,坪林區,坑子口段桶盤嶼小段53-10地號,121.704185,24.95806,(02)2665-7251分機205,新北市                 
公墓,坪林區第十公墓,公立,新北市,坪林區,大粗坑段大粗坑小段212-19地號,121.728515625,24.949215224782342,(02)2665-7251分機205,新北市                 
公墓,坪林區第十一公墓,公立,新北市,坪林區,大粗坑段九芎坑小段66-7地號,121.71722888946533,24.95723054157405,(02)2665-7251分機205,新北市                 
公墓,坪林區第十二公墓,公立,新北市,坪林區,大粗坑段虎寮潭小段38-5地號,121.74192667007446,24.951160737972813,(02)2665-7251分機205,新北市                 
公墓,坪林區第十三公墓,公立,新北市,坪林區,大舌湖段大舌湖小段32-1、32-2地號,121.74010276794433,24.963572388465877,(02)2665-7251分機205,新北市                 
公墓,坪林區第十四公墓,公立,新北市,坪林區,大舌湖段粗石斛小段29-7地號,121.74901,24.951982,(02)2665-7251分機205,新北市                 
公墓,坪林區第十五公墓,公立,新北市,坪林區,闊瀨段闊瀨小段31-5地號,121.77658081054687,24.972287031471268,(02)2665-7251分機205,新北市                 
公墓,坪林區第十六公墓,公立,新北市,坪林區,柑腳坑段柑腳坑小段31-2地號,121.76684,24.941708,(02)2665-7251分機205,新北市                 
公墓,坪林區第十七公墓,公立,新北市,坪林區,鷺鷥岫段鷺鷥岫小段34-10地號,121.780292,24.958196,(02)2665-7251分機205,新北市                 
公墓,坪林區第十八公墓,公立,新北市,坪林區,鷺鷥岫段中心崙小段53-8地號,121.75203323364258,24.978355793229912,(02)2665-7251分機205,新北市                 
公墓,坪林區第十九公墓,公立,新北市,坪林區,"九芎林段石小段54-22,54-23地號",121.72422409057617,24.888460854083682,(02)2665-7251分機205,新北市                 
公墓,坪林區第二十一公墓,公立,新北市,坪林區,灣潭段粗窟小段23-1地號,121.67397022247314,24.933377604268312,(02)2665-7251分機205,新北市                 
公墓,坪林區第二十二公墓,公立,新北市,坪林區,灣潭段幼瀨小段34-3等地號,121.68184518814087,24.934467235509085,(02)2665-7251分機205,新北市                 
公墓,汐止區第二公墓,公立,新北市,汐止區,茄苳腳段572-2、水源段1298地號,121.6397184,25.0616059,(02)2641-1111分機167,新北市                 
公墓,汐止區第三公墓,公立,新北市,汐止區,鄉長厝段鄉長厝小段75-1等地號,121.6397184,25.0616059,(02)2641-1111分機167,新北市                 
公墓,汐止區第四公墓,公立,新北市,汐止區,叭嗹港段烘內小段87之1，北港段洪內小段236之1地號,121.6397184,25.0616059,(02)2641-1111分機167,新北市                 
公墓,新店區第三公墓,公立,新北市,新店區,安康段861等、安華段205等地號,121.5255815,24.9399889,(02)2911-2281分機1013,新北市                 
公墓,鶯歌區第二公墓,公立,新北市,鶯歌區,尖山堆段522等地號,121.3543410,24.9559710,(02)2678-0202分機254,新北市                 
公墓,鶯歌區第三公墓(附設納骨堂),公立,新北市,鶯歌區,大湖段大湖小段348-38等、工藝段9等、大湖段圳子頭坑小段270-2地號,121.3543410,24.9559710,(02)2678-0202分機254,新北市                 
公墓,新店區第五公墓,公立,新北市,新店區,直潭段直潭小段257-2地號,121.5255815,24.9399889,(02)2911-2281分機1013,新北市                 
公墓,新店區第六公墓,公立,新北市,新店區,新和段17等地號,121.5255815,24.9399889,(02)2911-2281分機1013,新北市                 
公墓,新店區第七公墓,公立,新北市,新店區,直潭段康雅崙小段1等地號,121.5255815,24.9399889,(02)2911-2281分機1013,新北市                 
公墓,石門區第四公墓,公立,新北市,石門區,下角段草埔尾小段1之3、1之13地號,121.59534931182861,25.286959980357522,(02)2638-1721分機311,新北市                 
公墓,中和區第一公墓,公立,新北市,中和區,秀峰段640、657地號,121.4970294,24.9944460,(02)2248-2688分機313,新北市                 
公墓,中和區第二公墓,公立,新北市,中和區,烘爐地段280、535地號,121.4970294,24.9944460,(02)2248-2688分機313,新北市                 
公墓,中和區第五公墓,公立,新北市,中和區,國道段272等地號,121.4970294,24.9944460,(02)2248-2688分機313,新北市                 
骨灰(骸)存放設施,中和納骨堂,公立,新北市,中和區,橫路里興南路3段52巷38號,121.4928310,24.9773690,2946-1153或8941-6054,新北市                 
公墓,土城區第十公墓,公立,新北市,土城區,柑林段1321等地號,121.4410840,24.9696030,(02)2273-2000分機555,新北市                 
公墓,土城區第十一公墓,公立,新北市,土城區,冷水段231等地號,121.4608700,24.9775120,(02)2273-2000分機555,新北市                 
公墓,中和區第七公墓,公立,新北市,中和區,自強段105等、員山段993等、民利段607等地號,121.4881060,24.9962630,(02)2248-2688分機313,新北市                 
公墓,三峽區第十六公墓,公立,新北市,三峽區,十三添段十三添小段8之2等地號,121.3748620,24.8994860,(02)2671-1017分機203,新北市                 
公墓,林口區第一公墓,公立,新北市,林口區,南勢埔段頭湖小段8之2等地號,121.3741750,25.0842922,(02)2603-3111分機611,新北市                 
公墓,林口區第二公墓,公立,新北市,林口區,菁埔段湖子小段101之1等地號,121.3913253,25.0962051,(02)2603-3111分機611,新北市                 
公墓,林口區第三公墓,公立,新北市,林口區,菁埔段後湖小段151-1等地號,121.3913253,25.0962051,(02)2603-3111分機611,新北市                 
公墓,私立林口頂福陵園,私立,新北市,林口區,頂福里89號,121.3398668,25.0923205,(02)2609-2988,新北市                 
公墓,淡水區第九公墓,公立,新北市,淡水區,水?頭段南勢埔小段25、113地號,121.4570447,25.1895736,(02)2622-1020分機7610,新北市                 
公墓,淡水區第一公墓,公立,新北市,淡水區,海鷗段122、123等地號,121.4570447,25.1895736,(02)2622-1020分機7610,新北市                 
公墓,淡水區第三公墓,公立,新北市,淡水區,下圭柔山段67-1地號,121.446085,25.209538,(02)2622-1020分機7602,新北市                 
公墓,淡水區第四公墓,公立,新北市,淡水區,下圭柔山段306-1等地號,121.4570447,25.1895736,(02)2622-1020分機7610,新北市                 
公墓,淡水區第五公墓,公立,新北市,淡水區,灰子段公埔子小段62地號,121.4570447,25.1895736,(02)2622-1020分機7610,新北市                 
公墓,淡水區第六公墓,公立,新北市,淡水區,大屯段番社前小段28-1、29地號,121.4570447,25.1895736,(02)2622-1020分機7610,新北市                 
公墓,淡水區第七公墓,公立,新北市,淡水區,草埔尾段南平小段2等、北勢子小段118地號,121.488628,25.227063,(02)2622-1020分機7610,新北市                 
公墓,淡水區第八公墓,公立,新北市,淡水區,北投子段132-7、132-20地號,121.448773,25.184983,(02)2622-1020分機7602,新北市                 
公墓,淡水區第十公墓,公立,新北市,淡水區,樹林口段樹林口小段70地號,121.478235,25.168351,(02)2622-1020分機7610,新北市                 
公墓,淡水區第十一公墓,公立,新北市,淡水區,興福寮段125、126地號,121.49161,25.166384,(02)2622-1020分機7610,新北市                 
公墓,淡水區第十二公墓,公立,新北市,淡水區,小坪頂段134、144地號,121.4570447,25.1895736,(02)2622-1020分機7602,新北市                 
公墓,汐止區第八公墓,公立,新北市,汐止區,社後段社后下小段37之4地號,121.6310660,25.0737040,(02)2641-1111分機167,新北市                 
公墓,汐止區柯子林公墓,公立,新北市,汐止區,北港段柯子林小段89之5、89之6地號,121.6264100,25.1142000,(02)2641-1111分機167,新北市                 
公墓,汐止區第十公墓,公立,新北市,汐止區,橫科段橫科小段135-1地號,121.6283440,25.0490180,(02)2641-1111分機167,新北市                 
骨灰(骸)存放設施,懷仁聖殿,私立,新北市,三芝區,圓山里石曹子32-1號,121.5427093,25.2170856,(02)2637-1887,新北市                 
骨灰(骸)存放設施,私立國寶北海福座墓園附設納骨塔,私立,新北市,三芝區,北新庄店子里9-2號,121.500608,25.2054,(02)2637-2105,新北市                 
骨灰(骸)存放設施,私立北海明山墓園附設萬代福紀念特區,私立,新北市,三芝區,福德里大湖8-8號,121.505717,25.22415,(02)2637-1130,新北市                 
骨灰(骸)存放設施,白沙灣安樂園公墓附設真龍殿寶塔,私立,新北市,三芝區,圓山里木屐寮38-2號,121.531352,25.228686,(02)2636-5300,新北市                 
骨灰(骸)存放設施,金寶塔,私立,新北市,金山區,西湖里西勢湖18號,121.603157,25.249857,(02)2498-5911,新北市                 
骨灰(骸)存放設施,私立國榮公墓附設納骨塔,私立,新北市,金山區,無,121.6169002,25.2366076,無,新北市                 
骨灰(骸)存放設施,大佛寺,私立,新北市,金山區,五湖里南勢湖74-9號,121.616484,25.20454,(02)2498-2570,新北市                 
骨灰(骸)存放設施,私立天主教三德公墓附設升天塔,私立,新北市,三峽區,中正路3段33號,,,(02)2671-9985,新北市                 
骨灰(骸)存放設施,私立林口頂福陵園附設三聖寶塔,私立,新北市,林口區,頂福里89號,,,(02)2609-2988,新北市                 
骨灰(骸)存放設施,雙溪懷恩堂,公立,新北市,雙溪區,牡丹里中正路69-1號,,,2493-0237,新北市                 
骨灰(骸)存放設施,私立臺北花園公墓附設永安堂,私立,新北市,石碇區,北宜公路6段小金瓜寮15號,,,(02)2665-1973,新北市                 
骨灰(骸)存放設施,淡水聖賢祠,公立,新北市,淡水區,中和里北勢子 19-1 號,121.4755361,25.2343177,02-2801-3215,新北市                 
骨灰(骸)存放設施,三峽生命紀念館,公立,新北市,三峽區,添福里添福81號,121.37246400000003,24.9049336,02-2671-0609,新北市                 
骨灰(骸)存放設施,福田妙國生命紀念館,私立,新北市,萬里區,磺潭里員潭22-4號,,,(02)2498-0666,新北市                 
骨灰(骸)存放設施,懷恩寶殿,私立,新北市,三芝區,圓山里,,,(02)2637-1887,新北市                 
骨灰(骸)存放設施,日光苑,私立,新北市,金山區,西湖里,,,(02)2498-5900,新北市                 
骨灰(骸)存放設施,萬佛塔,私立,新北市,金山區,西湖里西勢湖18號,,,(02)2498-5900,新北市                 
骨灰(骸)存放設施,對越寺,私立,新北市,金山區,五湖里,,,(02)2498-2570,新北市                 
骨灰(骸)存放設施,祥雲觀,私立,新北市,金山區,五湖里南勢湖74-9號,,,(02)2498-2570,新北市                 
骨灰(骸)存放設施,私立天品寶塔,私立,新北市,三峽區,添福13之21號,,,(02)2672-8822,新北市                 
公墓,台北三芝新小基隆段山坡地殯葬設施,私立,新北市,三芝區,新小基隆段埔頭坑小段248等地號,,,無,新北市                 
公墓,三峽區弘道示範公墓,公立,新北市,三峽區,福德坑段960等地號,,,(02)2671-1017分機203,新北市                 
公墓,坪林區第二十公墓,公立,新北市,坪林區,九芎林段尖山湖小段38-8地號,,,(02)2665-7251分機218,新北市                 
骨灰(骸)存放設施,私立觀音山福園（附設福園寶塔）,私立,新北市,五股區,民義路2段130號,,,（02）2971-2102,新北市                 
火化場,台北縣立火化場,公立,新北市,板橋區,長江路三段,,,02-12345678,新北市                 
公墓,平溪區第二公墓,公立,新北市,平溪區,石底段東勢格小段52-3地號,121.7537404,25.0345984,(02)2495-1510分機162,新北市                 
公墓,平溪區第三公墓,公立,新北市,平溪區,十分寮段月桃寮小段73-2、73-6地號,121.776411,25.044993,(02)2495-1510分機162,新北市                 
公墓,平溪區第四公墓,公立,新北市,平溪區,十分寮段石灼坑小段29-5地號,121.776411,25.044993,(02)2495-1510分機162,新北市                 
公墓,平溪區第五公墓,公立,新北市,平溪區,十寮段平溪子小段98-6地號,121.7537404,25.0345984,(02)2495-1510分機162,新北市                 
公墓,三芝區第二公墓,公立,新北市,三芝區,新小基隆段浦頭坑小段65、67及番社后小段38地號,121.5255815,25.2370456,(02)2636-2111分機262,新北市                 
公墓,三芝區第一公墓,公立,新北市,三芝區,新小基隆段新庄子小段31、31-4、31-5地號,,,(02)2636-2111分機262,新北市                 
公墓,三芝區第三公墓,公立,新北市,三芝區,錫板段山豬崛小段145-1、162-1地號,121.477271,25.259456,(02)2636-2111分機262,新北市                 
公墓,三芝區第四公墓,公立,新北市,三芝區,後厝段土地公坑段110地號,121.5255815,25.2370456,(02)2636-2111分機262,新北市                 
公墓,三芝區第五公墓,公立,新北市,三芝區,土地公埔段土地公埔小段141-1地號,121.5255815,25.2370456,(02)2636-2111分機262,新北市                 
公墓,三芝區第六公墓,公立,新北市,三芝區,新小基隆段二坪頂小段29-5地號,121.5255815,25.2370456,(02)2636-2111分機262,新北市                 
公墓,三芝區第七公墓,公立,新北市,三芝區,北新庄子段車埕小段716-1地號,121.5255815,25.2370456,(02)2636-2111分機262,新北市                 
公墓,三芝區示範公墓(附設納骨塔),公立,新北市,三芝區,土地公埔段八連溪頭小段148等地號,121.5255815,25.2370456,(02)2636-2111分機262,新北市                 
公墓,貢寮區第一公墓,公立,新北市,貢寮區,長潭段215-1地號,,,(02)2494-1601分機252,新北市                 
公墓,貢寮區第二公墓,公立,新北市,貢寮區,貢寮段貢寮小段153-1、153-2地號,121.90701,25.020175,(02)2494-1601分機252,新北市                 
公墓,貢寮區第三公墓,公立,新北市,貢寮區,貢寮段貢寮小段535-2、535-15地號,121.90701,25.020175,(02)2494-1601分機252,新北市                 
公墓,貢寮區第四公墓,公立,新北市,貢寮區,枋腳段55-1、55-2地號,121.889744,25.006828,(02)2494-1601分機252,新北市                 
公墓,貢寮區第五公墓,公立,新北市,貢寮區,貢寮段內寮小段853-1地號,121.9131761,25.0178293,(02)2494-1601分機252,新北市                 
